"","CLDN18","cMET","HER2","EGFR","TROP2"
"TCGA-L5-A4OW-01A-11R-A28J-31",6.74503261894897,6.74232859160159,11.2218802744319,6.12405062280407,7.96879664079447
"TCGA-S8-A6BW-01A-11R-A31P-31",0.573256392911416,6.77241679928094,5.9739421750398,7.52728905453948,9.19367293402808
"TCGA-JY-A939-01A-12R-A37I-31",9.62582394329107,5.28664040618292,5.11886627703042,4.62395629763361,6.16816468328132
"TCGA-L5-A88S-01A-11R-A36D-31",-1.04760366707871,6.19568586314741,5.37850150910448,7.07363709078423,8.9136870327106
"TCGA-LN-A7HX-01A-11R-A336-31",-1.20955401445941,6.38597573325147,6.10631165685777,7.16475228549337,10.3191141949648
"TCGA-IG-A97I-01A-11R-A38D-31",-0.500638147998991,6.58881118685624,6.09913490492967,7.00462435784731,11.0170966946373
"TCGA-LN-A49M-01A-21R-A260-31",-1.35221820080643,6.42822420051251,4.97067105066881,6.82808617914385,9.40636612729264
"TCGA-JY-A6FD-01A-11R-A336-31",1.06873364356085,6.49125210420653,5.6748257659948,8.31979716732609,9.50981135362121
"TCGA-L5-A88V-01A-11R-A354-31",6.59444663539814,6.33669768070763,13.0573026493324,4.93012140537847,10.3340307972568
"TCGA-LN-A4A1-01A-21R-A260-31",-0.235367649349275,6.08506966790779,5.12765147609555,8.03727491761386,9.10946628352857
"TCGA-L5-A8NK-01A-21R-A37I-31",2.44377406994799,5.77051550490866,6.46137783704717,7.19286631866244,10.7876137804918
"TCGA-VR-A8Q7-01A-11R-A37I-31",-0.55882623470296,6.92736598509028,6.13026244868889,8.41771094595288,9.00079523846722
"TCGA-L5-A4OX-01A-21R-A28J-31",7.15568943322326,6.84024112775093,6.58292509326508,5.55801994423734,8.35852554672604
"TCGA-IG-A6QS-01A-12R-A336-31",-2.32192809488736,4.88223637210191,4.63481814539861,6.84393538305231,9.17739207179503
"TCGA-L5-A8NR-01A-11R-A37I-31",3.78858569540447,7.85913921835833,11.3621833449861,6.56051960259051,9.2032251397243
