"","CLDN18","cMET","HER2","EGFR","TROP2"
"TCGA-HU-A4HB",8.37954921464121,5.19919279767688,6.12273336331876,4.28839315669461,6.76645878675104
"TCGA-D7-A4Z0",8.14231344193238,6.16321753558538,6.24147578024065,5.34376634445615,8.29908164611539
"TCGA-BR-8686",10.0085654917115,6.18291879638803,6.66819142655875,4.23884664943155,5.80886182792102
"TCGA-VQ-A8P2",0.977359423965241,5.56067015283419,6.53457201466586,5.41434709689378,1.89451958255356
"TCGA-CG-4306",9.58515261437118,6.9169162647766,6.38789619734236,5.24674860887283,7.62931848310811
"TCGA-F1-6177",8.69050515025856,7.02656868487118,7.65276985068504,6.52017153393575,4.17657266700875
"TCGA-BR-6566",4.76092936081508,4.47964531375298,5.95855648354551,4.22527853096841,6.2475365284687
"TCGA-F1-A448",8.37356382750389,5.16800193872603,6.21956800996248,4.53343348908228,8.04414499591948
"TCGA-D7-6522",6.48738084313104,4.09365961277364,5.22929255020535,3.65655353970168,7.13030128277058
"TCGA-BR-8364",10.7190362749144,6.08426472520515,7.17292362345095,6.14408987454698,8.07960168576694
"TCGA-D7-6818",9.86465138053923,4.42456092464315,4.8302315260034,3.18276391881378,5.48338362373858
"TCGA-FP-8209",8.91347830401235,5.39667251066976,5.30328033488201,6.26246343939817,6.83156912494758
"TCGA-VQ-A91X",4.46630477321317,5.64465501234563,11.5253879910517,3.48976214065567,7.99503430122364
"TCGA-CD-8533",8.03629367255924,6.92131169612499,5.74391273869089,2.67760776029091,4.76702834918289
"TCGA-D7-A6EX",0.136501295637514,6.25923033154202,2.47100147053638,4.7781399615569,2.63187291295591
"TCGA-HU-A4H8",11.1020951422668,5.69776070884526,7.49662377364648,5.47629169609897,4.07935197969098
"TCGA-D7-A6EZ",10.4796201895863,5.97428361980427,5.41916555113116,2.3983878206259,0.509007747688765
"TCGA-ZQ-A9CR",9.11212142480268,5.52418469275417,4.47715677231526,8.86633039544165,6.62235458779684
"TCGA-BR-8059",9.91696910112389,6.39403621166665,7.26792800067928,5.13966782394115,9.18288779200571
"TCGA-CG-5724",4.56525034699221,9.1722692074182,6.98814667756642,6.1086780517904,8.56048350918594
"TCGA-EQ-8122",5.53889168765717,6.25507499293562,13.0851135095503,4.04281979082054,8.41836415040165
"TCGA-VQ-A8PC",9.10505954915109,6.33420303652241,7.25549224018592,5.1629091320065,8.58788715552493
"TCGA-VQ-A91S",4.56568208620655,7.40576228691081,9.41328747309481,5.56847577124462,8.21211741644022
"TCGA-BR-8690",0.60351702608601,5.64959019748277,6.29371027362218,4.38703050667822,8.11624026789839
"TCGA-CG-4304",8.16946814762413,6.85119751683497,7.10039206097743,5.07896741486354,4.34225312236194
"TCGA-CG-4466",5.90241089182335,7.39545309328379,11.7615997251521,5.90281586355016,8.6031346244133
"TCGA-BR-6458",8.89801590510484,5.01473683267692,5.82490501956929,10.4835489902322,7.1995054824969
"TCGA-CG-4305",11.4280758342931,6.85646089392194,6.66208887147923,4.83018991442596,8.74638445079819
"TCGA-BR-6563",6.5119820637866,4.48379131815578,5.63817066756396,4.1870759308143,3.49779858304186
"TCGA-HU-A4H5",5.00543723995457,4.38045037586313,6.60454555032333,0.604726537636765,8.05649423128917
"TCGA-HU-8249",0.25767062208321,5.67796736951432,6.01582830219283,4.20017788769872,4.40251750167749
"TCGA-RD-A8MV",10.8038464185079,6.16573590497274,5.97646159542923,5.3891355203033,6.93589630653833
"TCGA-FP-A8CX",10.3022065804456,6.08234003832052,11.4537888543763,4.37658970137907,7.68914773886011
"TCGA-HU-8602",1.04458742758238,0.543727564873488,6.90208002828898,5.10460919243662,6.15792435508335
