"","TROP2","CLDN18","HER2","cMET","EGFR"
"TCGA-HV-A5A4-01A-11R-A26U-07",9.4938258856548,8.4197376874676,7.27729858574921,5.82899874620328,4.45357946049609
"TCGA-F2-7273-01A-11R-2156-07",7.64025926706393,5.68718962846783,5.69791328408697,5.58118886275054,5.4661715984547
"TCGA-HV-A7OP-01A-11R-A33R-07",8.67728863374256,4.31784967914248,6.37512359167168,2.88792863777702,2.05403885939326
"TCGA-3A-A9IH-01A-12R-A39D-07",10.1971270337118,5.45740057501248,6.81085909225459,6.39369877721793,4.4883936259498
"TCGA-IB-AAUQ-01A-22R-A41I-07",8.87389765616815,3.41007928576325,6.17953612124801,6.86967739691817,5.28336552170479
"TCGA-2J-AAB9-01A-11R-A41B-07",8.74422715989474,6.08006355288267,6.0617652613129,6.02007626756296,4.80772013462833
"TCGA-FB-A7DR-01A-21R-A33R-07",8.39934625028533,6.76819461232943,5.84977302758891,7.20752767336274,5.07622200178281
"TCGA-YH-A8SY-01A-11R-A37L-07",9.32452352101002,9.64905543428255,6.65931433542993,5.58456252126157,3.83630507257609
"TCGA-3A-A9IR-01A-11R-A38C-07",-2.32192809488736,-2.32192809488736,2.72743322185526,0.112734569159913,3.53367198565525
"TCGA-2J-AABF-01A-31R-A41B-07",8.41427666783842,8.38921873528093,6.65638544343901,6.58865508282577,4.9232663745345
"TCGA-IB-7886-01A-11R-2156-07",8.35469781917938,5.71517473809471,6.19083476747261,7.57957917475974,5.4602475743137
"TCGA-3A-A9IS-01A-21R-A39D-07",-2.32192809488736,-2.32192809488736,2.99241357842024,2.22506627313049,0.692835379310209
"TCGA-2L-AAQE-01A-11R-A39D-07",10.105579317781,7.67858868198163,6.74365063995498,7.66090407354603,4.47574556969996
"TCGA-YB-A89D-01A-12R-A36G-07",9.33672900531699,9.38814549870273,6.69575257074948,6.21838796414874,4.22189333835305
"TCGA-HZ-7919-01A-11R-2156-07",9.34972515072227,7.78072185808154,7.16477352133436,7.57071423703107,5.36614085655003
"TCGA-IB-7654-01A-11R-2156-07",7.94673407035401,10.3170569499455,6.7251513687034,6.49890408046913,4.51661855019346
"TCGA-OE-A75W-01A-12R-A32O-07",8.21294543566382,9.2959137037795,6.6228875335296,5.56737780697377,3.13746391672877
"TCGA-Q3-A5QY-01A-12R-A32O-07",7.90015026407599,3.29852527714681,4.69037120190774,3.6498134212802,3.04572457508208
"TCGA-HZ-8636-01A-21R-2404-07",9.61586459759211,8.83728219472701,6.3045102028732,7.2065458179702,5.45883481199857
"TCGA-HZ-8003-01A-21R-2204-07",6.11548177168665,7.29418982064856,4.39645000131152,4.08705024100354,3.54553035692865
"TCGA-HZ-A9TJ-01A-11R-A41I-07",9.57952472395028,8.57994639775742,6.96261888262411,6.20862425122162,4.48386496743832
"TCGA-3A-A9IL-01A-11R-A38C-07",4.19263793996044,-0.678327395749279,3.89802899274821,1.94679439539654,2.15730881591907
"TCGA-RB-AA9M-01A-11R-A39D-07",9.34337080167869,1.60342986791319,6.81079751186405,6.04444459257301,5.76167094006869
"TCGA-2J-AABU-01A-11R-A41B-07",10.7812289308403,1.42595048980865,6.76623723416066,7.84695256140227,5.88730524725933
"TCGA-US-A779-01A-11R-A32O-07",9.13339441421157,10.109485777818,7.52130213363891,6.379165683881,3.76146544787137
"TCGA-IB-AAUO-01A-12R-A38C-07",10.1328533181354,6.88350283594991,6.85503816467395,7.99125290959986,4.46006334560071
"TCGA-HZ-7923-01A-12R-2156-07",7.40575536084345,3.47852750584494,5.59192137051628,5.24909331922898,4.87345815271453
"TCGA-HZ-7925-01A-11R-2156-07",8.34916224914965,5.75352634199697,6.16952681079686,6.09868026416209,4.32167440171673
"TCGA-HZ-A4BK-01A-11R-A26U-07",9.12897815791469,7.51205350752266,6.86923787410956,6.15789161202444,4.72199455777997
"TCGA-L1-A7W4-01A-12R-A36G-07",10.1568583119192,-2.11009793296203,6.16876336541076,7.42534321809191,5.62023515760002
"TCGA-HZ-A77O-01A-11R-A33R-07",8.37186104506027,8.69936882970063,5.73009660954551,4.8200807224449,4.30901969609351
"TCGA-LB-A7SX-01A-11R-A33R-07",9.65529001506952,1.64138920164285,7.75799204395228,7.0257100556468,4.46087201174361
"TCGA-Q3-AA2A-01A-11R-A37L-07",9.68060543436208,9.89475167430953,6.73412557103331,6.41103312202301,3.872539670127
"TCGA-HZ-A8P0-01A-11R-A36G-07",8.88512402438979,8.51735463917494,6.42764601590666,5.53226103275213,4.33927335705912
"TCGA-IB-AAUM-01A-11R-A37L-07",6.62228440304397,6.74617557342289,4.92955194658076,3.33515557524982,3.27118817980134
"TCGA-IB-7890-01A-12R-2204-07",7.41345868356335,6.465014583574,6.08752674353375,7.49762054599435,5.14633167501766
"TCGA-HZ-A49G-01A-11R-A26U-07",8.78375929747605,6.70325813493275,6.38318053331443,5.47245159443252,4.63261623458556
"TCGA-FB-AAQ3-01A-11R-A41B-07",9.75821842120666,8.80314336396406,6.65002619802654,5.58361196790204,2.80678193344959
"TCGA-3A-A9I5-01A-11R-A38C-07",6.99837578563296,5.68460576074229,5.65986530038269,4.58279569113797,3.00464250235541
"TCGA-HZ-7918-01A-11R-2156-07",7.64655359276623,7.81045838375401,5.61220529990604,6.03472865599049,4.65534064313143
"TCGA-3A-A9I9-01A-11R-A38C-07",9.29315936411056,7.91213965462826,5.47387479578106,5.2080655989159,3.27355970063149
"TCGA-IB-AAUV-01A-11R-A38C-07",7.56565346861264,-0.0552490307896188,5.05970708508183,3.01143655414523,4.55198159307352
"TCGA-IB-A6UF-01A-23R-A33R-07",9.70769914648618,1.77068313511543,6.26822719119134,7.00712102784795,5.18168829926681
"TCGA-IB-AAUT-01A-11R-A37L-07",9.19779634136192,5.16501745298217,6.33290120201485,5.11972596728347,4.32673587276221
"TCGA-2J-AABI-01A-12R-A41B-07",10.7600522603101,-2.16797764776923,6.55012716611588,7.52063586046433,7.55575366210136
"TCGA-IB-AAUN-01A-12R-A38C-07",8.95967120750955,6.78186084612147,6.33446805573911,7.20821752844422,5.24193293456934
"TCGA-HZ-8317-01A-11R-2404-07",7.61846260768987,7.54381053207604,5.18025017387236,5.48312184431268,4.50735451170699
"TCGA-Z5-AAPL-01A-12R-A41B-07",8.10690574814121,8.04113802323681,5.16330627299105,4.56048809571425,3.47336950883241
"TCGA-F2-A8YN-01A-11R-A37L-07",10.7507144605525,7.81314028860919,6.54457018037826,6.42390764370359,4.86459861980245
"TCGA-FB-A5VM-01A-11R-A32O-07",10.8506805703525,0.677671336298118,6.00737765285548,5.8374427317159,4.10845836722279
"TCGA-F2-A44H-01A-11R-A26U-07",7.85082639327338,6.70772832949943,5.79217043552057,5.72187808379272,3.51052993610825
"TCGA-HV-AA8X-01A-11R-A39D-07",10.1834372606767,11.1098510433234,8.10771639497993,6.3276492480944,4.30494949864355
"TCGA-HZ-A49I-01A-12R-A26U-07",9.66349633054671,8.87528315281939,6.81133093665344,6.49833880617727,4.70423488331976
"TCGA-US-A77G-01A-11R-A32O-07",9.96626272167875,11.7344205627108,7.57473053491568,6.43495138897302,5.11385319451888
"TCGA-HZ-8638-01A-11R-2404-07",7.91932966700726,7.47503501316653,6.67817814717469,6.43407482690304,4.96094157067006
"TCGA-RL-AAAS-01A-32R-A39D-07",9.2346978288323,0.40909778922234,5.99427516343502,5.24275070430336,3.91243647714088
"TCGA-YY-A8LH-01A-11R-A36G-07",9.68679442932813,9.62223726248482,7.3257803076191,5.96816284898764,5.46582943836793
"TCGA-LB-A8F3-01A-11R-A36G-07",8.6459156060072,7.19716077727452,5.28195911353231,4.48744895810693,3.41254176857452
"TCGA-FB-AAQ0-01A-31R-A41B-07",6.75516548537785,10.9902815390766,6.72077936324318,6.63909674857322,3.97511742053915
"TCGA-IB-A6UG-01A-32R-A33R-07",9.09009717669474,1.90274795293849,5.99330577164753,6.10383611487596,4.83073882399503
"TCGA-2J-AAB6-01A-11R-A41B-07",10.0824924901022,5.13682260940265,5.56595852659138,7.56065241024319,5.02384834488005
"TCGA-HZ-8315-01A-11R-2404-07",9.74666568717652,6.39486481832479,6.54396567812298,7.36916798303802,4.77198569092652
"TCGA-2J-AABA-01A-21R-A41B-07",9.5400343103881,1.59593360898151,7.15503562859443,6.39699389536428,4.61615985269762
